Income_INR,Village_Risk_Score,Loan_Size_INR,Past_Repayment_History,Default
12687,0.188,9075,1,0
9236,0.17,12685,0,0
13682,0.511,29596,1,0
21194,0.319,52259,1,1
8803,0.384,10603,0,0
8803,0.085,6074,0,0
21798,0.461,34671,1,0
14526,0.326,34607,2,0
7826,0.061,14070,1,0
12981,0.401,21608,1,0
7850,0.245,8238,0,1
7841,0.303,13120,1,1
11169,0.141,25219,1,0
5000,0.311,5943,0,1
5000,0.041,5000,2,0
7471,0.097,10534,2,0
5964,0.518,7097,2,1
11581,0.242,16061,1,0
6285,0.191,5000,2,0
5000,0.305,5530,1,0
20595,0.365,43986,2,1
8840,0.261,10968,2,0
10237,0.694,24902,0,1
5000,0.337,9442,0,0
7538,0.247,8810,0,0
10461,0.028,9713,2,0
5566,0.144,10238,1,0
11942,0.255,12362,1,1
7329,0.045,17198,2,0
8553,0.361,5511,2,0
7325,0.084,5000,2,0
24987,0.212,21593,0,1
9830,0.248,16455,1,1
5832,0.58,12559,2,0
14932,0.721,11307,1,0
5375,0.434,8750,1,1
10986,0.161,7720,2,0
5000,0.243,7913,2,0
5094,0.182,5000,1,0
10920,0.208,17160,1,0
14317,0.203,21415,2,0
10782,0.14,5283,0,1
9341,0.37,17260,1,1
8513,0.416,13636,2,0
5000,0.149,8542,1,0
6905,0.159,10444,1,0
7861,0.482,15063,1,0
16790,0.14,25227,1,0
11752,0.356,27462,1,1
5000,0.518,11906,2,0
11638,0.107,22415,1,0
8163,0.163,18896,1,0
7055,0.175,16499,0,0
13437,0.22,12768,1,0
16572,0.287,41219,2,0
15766,0.177,15161,1,0
6505,0.335,5000,2,0
8479,0.378,20525,1,0
11679,0.776,10159,1,1
16119,0.485,26220,0,1
7788,0.36,18991,2,0
9019,0.256,5000,1,0
5692,0.222,5496,1,0
5441,0.461,9134,0,1
14857,0.206,29735,2,0
19499,0.21,40859,2,0
9547,0.141,21539,1,1
16346,0.221,12320,1,1
11858,0.12,13958,1,1
7168,0.263,13619,2,0
11857,0.211,22554,2,0
21354,0.279,22356,1,0
9721,0.258,10099,2,0
21640,0.381,23227,1,0
5000,0.274,11366,1,1
14927,0.336,34481,2,1
10337,0.338,5000,1,0
8522,0.308,9226,2,0
10361,0.323,12675,0,1
5000,0.225,12315,1,0
8867,0.547,21129,0,1
11831,0.314,20344,2,0
20721,0.065,10282,0,0
7637,0.131,6122,0,0
6606,0.312,8666,0,1
7701,0.233,18590,1,0
15641,0.273,9367,1,0
11665,0.055,24052,0,1
7594,0.336,6086,0,1
12792,0.076,18760,0,1
10389,0.52,20889,1,0
16063,0.173,29786,1,0
6967,0.304,14137,1,0
8401,0.136,17714,0,0
8135,0.03,8477,2,0
5000,0.125,5822,1,0
11476,0.22,24250,2,0
11277,0.055,5425,2,0
9922,0.662,14688,2,0
8801,0.26,20533,2,0
5000,0.157,11292,1,1
8019,0.436,16753,0,1
8338,0.219,5000,0,0
6626,0.37,15003,2,0
9130,0.112,21132,1,1
12112,0.447,21726,2,1
25414,0.133,26119,1,0
10799,0.254,15431,2,0
11257,0.251,22531,2,0
9535,0.495,20094,0,1
5000,0.291,5605,2,1
9766,0.309,10594,1,0
10199,0.415,19848,2,1
33915,0.118,62449,2,0
8989,0.211,13284,2,0
11507,0.436,14759,0,1
9726,0.345,17314,0,1
5517,0.224,5000,2,0
17525,0.392,9795,2,0
14414,0.173,23112,0,0
14698,0.175,12370,1,0
6281,0.15,12732,0,1
19958,0.328,40354,1,0
5000,0.167,9454,2,1
13272,0.507,30493,1,1
29591,0.765,20588,0,1
6031,0.143,5696,2,0
7456,0.226,6933,1,0
10402,0.383,21252,1,1
7694,0.328,11501,0,1
5000,0.201,5000,0,1
10242,0.327,7031,1,1
5818,0.37,13239,2,0
12541,0.383,23245,1,1
6249,0.536,9436,1,0
21481,0.398,52147,2,0
6690,0.22,14611,2,0
8425,0.146,6521,1,0
14864,0.22,21807,1,1
5348,0.313,7598,2,0
11089,0.073,24096,1,1
19026,0.249,13567,0,1
5000,0.614,6743,1,1
10854,0.788,18851,2,1
11270,0.309,26880,2,0
14631,0.075,33482,1,0
5332,0.354,8110,1,0
5114,0.067,8561,2,0
12848,0.2,28138,0,1
11481,0.318,22540,2,0
11217,0.374,25201,1,0
11768,0.537,26850,0,1
7044,0.071,15134,1,0
11115,0.263,5000,0,1
11459,0.182,12065,1,1
6924,0.388,8637,1,1
25156,0.109,45876,0,0
12542,0.088,13099,1,0
5455,0.279,5888,1,0
13742,0.043,17047,1,0
6079,0.456,14628,0,1
14669,0.356,19335,1,1
17664,0.254,12283,2,0
6565,0.189,5000,2,0
16021,0.268,14369,1,0
12165,0.259,28851,1,0
14928,0.525,35910,1,1
25550,0.53,38603,0,1
8754,0.517,15384,2,0
6789,0.555,14063,2,0
6343,0.348,5000,0,1
6582,0.171,7806,1,0
9522,0.479,16652,1,0
11737,0.547,26836,1,1
11365,0.435,21894,1,0
14966,0.442,16989,2,0
9961,0.198,23021,1,1
20471,0.45,36759,2,0
8670,0.14,18584,2,0
38564,0.512,46646,0,1
13532,0.212,5474,0,0
6447,0.085,5000,2,0
5793,0.588,13598,0,1
12597,0.447,5915,0,0
8850,0.368,14618,2,0
14143,0.335,17808,1,1
12539,0.208,16327,1,0
9543,0.411,11849,0,1
6480,0.142,5000,2,0
5000,0.102,5000,2,0
7916,0.508,5000,1,1
15187,0.436,7794,1,0
11015,0.501,6386,0,0
5308,0.626,9889,2,0
10792,0.129,6905,2,0
11999,0.364,11389,1,1
6361,0.253,11321,2,0
10687,0.395,6794,2,1
10189,0.21,23553,1,0
5588,0.477,7839,2,1
11835,0.444,28671,0,1
13100,0.352,10536,2,0
17009,0.041,7897,0,0
16762,0.231,27483,1,0
5000,0.613,5451,2,0
6192,0.396,9920,1,0
12804,0.521,17857,2,0
12796,0.049,17403,0,0
12804,0.045,28008,1,1
40000,0.252,32114,0,1
13166,0.36,19081,0,1
17462,0.397,22239,1,0
15946,0.218,28941,1,0
13707,0.272,6926,1,0
8453,0.08,12780,1,0
14464,0.315,20322,1,0
6725,0.117,16439,1,0
8791,0.433,17471,0,1
7764,0.269,5632,1,1
10310,0.425,15150,1,1
31486,0.18,64417,1,1
5000,0.303,7507,2,0
13948,0.181,16027,1,0
5000,0.149,5954,2,0
7816,0.223,9151,2,0
17059,0.15,7538,2,0
10220,0.453,19768,1,1
5774,0.272,9716,0,1
6921,0.221,6673,2,0
13902,0.29,23954,0,0
6869,0.206,7201,0,0
11028,0.246,10047,2,0
10125,0.396,19809,1,1
7145,0.257,14998,1,0
28910,0.244,49552,2,1
13588,0.467,27811,2,0
5000,0.107,5839,1,1
10864,0.187,5983,1,1
7108,0.219,11873,1,0
15156,0.571,14210,2,0
6659,0.288,13535,2,0
9345,0.234,10766,0,0
12739,0.081,23038,1,0
15258,0.171,23818,1,0
5430,0.394,11495,2,0
8372,0.141,17983,1,0
7805,0.339,5000,0,0
7139,0.537,7279,1,1
23926,0.24,53327,2,0
12118,0.192,15128,2,0
5268,0.075,7804,0,1
15661,0.295,12294,1,0
28597,0.351,44630,0,1
16584,0.105,15849,1,1
5000,0.046,10706,0,0
7768,0.298,6374,2,1
18647,0.222,21550,1,0
6947,0.507,5000,2,0
12356,0.091,20199,2,0
14578,0.525,34670,1,1
6226,0.297,5000,1,0
9606,0.27,5000,2,0
5000,0.467,6435,1,1
5930,0.501,11692,0,1
8722,0.213,21351,1,1
5303,0.364,5000,0,1
22386,0.251,45903,1,0
5000,0.107,5871,0,0
7942,0.334,5741,0,0
10565,0.236,8493,1,0
20345,0.16,47612,2,0
5000,0.168,10498,1,0
17704,0.386,18671,0,1
9947,0.282,23620,1,0
6058,0.21,5000,0,1
12469,0.216,13433,1,1
10932,0.09,19363,2,0
7331,0.453,18319,0,1
10248,0.262,14121,0,1
8162,0.32,17162,1,1
10475,0.31,24337,1,1
13781,0.559,5791,1,0
21873,0.291,22021,0,0
5329,0.169,5000,1,0
28753,0.295,58361,2,0
5000,0.041,7954,2,0
9173,0.213,5510,1,0
13281,0.368,17047,2,0
11390,0.159,16849,0,1
7249,0.553,13521,0,1
8918,0.115,18167,1,0
7734,0.392,5000,1,0
7371,0.199,10496,2,0
15135,0.625,11175,0,1
11831,0.295,23447,0,0
6999,0.129,12466,2,0
15518,0.46,29769,1,0
11540,0.342,6433,1,0
14860,0.43,21869,1,0
13559,0.437,29358,0,1
6538,0.185,12410,2,0
7479,0.681,16527,1,0
14380,0.51,11976,1,1
13429,0.443,13462,2,0
9794,0.258,12993,0,1
10495,0.098,15730,1,0
18747,0.051,17426,1,0
7362,0.09,8839,0,1
13010,0.177,23976,0,1
8945,0.219,15702,0,0
8876,0.191,5609,1,0
17143,0.485,42344,1,1
14953,0.373,23653,2,0
14864,0.559,21040,0,1
19010,0.178,46218,2,0
10001,0.362,6948,0,1
13918,0.563,21458,0,1
8474,0.558,17718,1,0
11638,0.02,14405,2,0
9273,0.152,18048,0,1
10388,0.057,23772,1,0
13327,0.302,12654,0,0
6574,0.375,5963,1,0
28175,0.196,32610,2,0
5984,0.448,7653,1,0
5393,0.226,5000,1,0
17659,0.144,15641,1,1
14703,0.271,32844,2,0
13521,0.065,21497,2,0
13550,0.378,13041,0,1
9836,0.59,23426,0,0
6319,0.475,12803,1,1
10279,0.398,11935,1,0
7054,0.424,14161,1,1
16115,0.243,26618,1,0
9195,0.404,16883,1,1
6550,0.188,7041,1,1
8427,0.224,7078,1,0
12166,0.373,11345,2,0
7466,0.234,5000,0,1
6560,0.276,9114,2,0
11179,0.195,14009,0,0
11186,0.469,5000,0,1
7681,0.305,16886,2,1
7820,0.481,14326,1,1
11114,0.111,14873,1,1
5000,0.175,12153,1,0
5000,0.295,11875,0,0
6910,0.412,5000,1,0
8895,0.236,15048,1,1
11561,0.597,24461,1,1
20695,0.121,15794,0,1
15196,0.296,10162,1,1
9136,0.539,8638,1,0
9803,0.61,9679,2,0
5995,0.228,14547,1,1
9805,0.076,19994,1,0
8566,0.273,5000,2,0
11630,0.097,23860,1,0
6544,0.258,5000,1,1
12831,0.293,14759,1,0
21298,0.161,22765,2,0
9373,0.342,9110,1,1
12098,0.358,12684,0,0
13975,0.327,27725,1,1
8098,0.359,7772,1,0
11070,0.259,23043,1,1
9959,0.252,5887,1,0
10392,0.227,17146,1,0
6724,0.284,14876,1,0
10019,0.128,5676,1,0
12695,0.377,22004,1,0
20446,0.301,30146,2,0
15988,0.191,17540,2,1
29044,0.14,17758,1,0
6743,0.073,12277,2,1
15308,0.249,16069,0,0
10847,0.22,12059,1,0
